Year,Region,Indicator,Co-Edue Basic Education,Co-Edue General Education,Female Basic Education,Female General Education,Male Basic Education,Male General Education,Total Basic Education,Total General Education,Co-Edue Total,Female Total,Male Total
2002,Muscat,No. of Classes,,21,,1167,,1186,610,2374,,,
2003,Muscat,No. of Classes,,18,,1104,,1117,798,2239,,,
2004,Muscat,No. of Classes,,21,,1008,,1039,994,2068,,,
2005,Muscat,No. of Classes,,24,,914,,942,1267,1880,,,
2006,Muscat,No. of Classes,790,7,342,821,349,853,1481,1681,,,
2007,Muscat,No. of Classes,820,4,422,716,427,735,1669,1455,,,
2008,Muscat,No. of Classes,815,46,490,598,488,609,1793,1253,,,
2009,Muscat,No. of Classes,813,45,539,535,533,544,1885,1124,,,
2010,Muscat,No. of Classes,817,39,569,488,572,490,1958,1017,,,
2011,Muscat,No. of Classes,864,76,613,410,595,416,2072,902,,,
2012,Muscat,No. of Classes,937,17,652,369,629,351,2218,737,,,
2013,Muscat,No. of Classes,1001,4,675,339,645,310,2321,653,,,
2014,Muscat,No. of Classes,1044,,704,313,682,298,2430,611,,,
2015,Muscat,No. of Classes,1110,,765,297,724,272,2599,569,,,
2002,Dhofar,No. of Classes,,359,,588,,629,332,1576,,,
2003,Dhofar,No. of Classes,,379,,568,,617,456,1564,,,
2004,Dhofar,No. of Classes,,373,,535,,577,557,1485,,,
2005,Dhofar,No. of Classes,,383,,481,,520,673,1384,,,
2006,Dhofar,No. of Classes,452,383,177,394,168,449,797,1226,,,
2007,Dhofar,No. of Classes,477,357,211,352,200,385,888,1094,,,
2008,Dhofar,No. of Classes,537,280,251,311,236,324,1024,915,,,
2009,Dhofar,No. of Classes,572,239,293,299,278,301,1143,839,,,
2010,Dhofar,No. of Classes,592,212,328,250,295,258,1215,720,,,
2011,Dhofar,No. of Classes,614,209,361,246,321,251,1296,706,,,
2012,Dhofar,No. of Classes,671,131,370,216,341,211,1382,558,,,
2013,Dhofar,No. of Classes,710,101,388,191,353,196,1451,488,,,
2014,Dhofar,No. of Classes,786,75,390,177,357,184,1533,436,,,
2015,Dhofar,No. of Classes,876,76,388,171,340,157,1604,404,,,
2002,Musandam,No. of Classes,,23,,67,,67,73,157,,,
2003,Musandam,No. of Classes,,26,,59,,57,88,142,,,
2004,Musandam,No. of Classes,,17,,63,,60,103,140,,,
2005,Musandam,No. of Classes,,14,,51,,52,120,117,,,
2006,Musandam,No. of Classes,58,15,35,43,41,41,134,99,,,
2007,Musandam,No. of Classes,57,5,39,41,46,43,142,89,,,
2008,Musandam,No. of Classes,58,4,43,36,50,34,151,74,,,
2009,Musandam,No. of Classes,55,4,45,35,52,31,152,70,,,
2010,Musandam,No. of Classes,60,4,48,31,51,28,159,63,,,
2011,Musandam,No. of Classes,61,4,50,29,51,28,162,61,,,
2012,Musandam,No. of Classes,62,4,52,26,55,26,169,56,,,
2013,Musandam,No. of Classes,65,4,48,26,52,27,165,57,,,
2014,Musandam,No. of Classes,67,5,49,23,51,27,167,55,,,
2015,Musandam,No. of Classes,72,,47,25,50,27,169,52,,,
2002,Al Buraymi,No. of Classes,,,,,,,,,,,
2003,Al Buraymi,No. of Classes,,,,,,,,,,,
2004,Al Buraymi,No. of Classes,,,,,,,,,,,
2005,Al Buraymi,No. of Classes,,,,,,,,,,,
2006,Al Buraymi,No. of Classes,129,33,64,73,73,70,266,176,,,
2007,Al Buraymi,No. of Classes,131,23,80,66,86,64,297,153,,,
2008,Al Buraymi,No. of Classes,137,30,88,51,94,52,319,133,,,
2009,Al Buraymi,No. of Classes,139,27,98,42,100,42,337,111,,,
2010,Al Buraymi,No. of Classes,134,25,103,37,105,43,342,105,,,
2011,Al Buraymi,No. of Classes,145,23,94,34,97,43,336,100,,,
2012,Al Buraymi,No. of Classes,149,19,95,37,96,39,340,95,,,
2013,Al Buraymi,No. of Classes,157,15,97,34,93,37,347,86,,,
2014,Al Buraymi,No. of Classes,161,6,106,38,104,42,371,86,,,
2015,Al Buraymi,No. of Classes,171,10,116,38,115,38,402,86,,,
2002,Ad Dakhliyah,No. of Classes,,90,,923,,988,568,2001,,,
2003,Ad Dakhliyah,No. of Classes,,99,,880,,933,727,1912,,,
2004,Ad Dakhliyah,No. of Classes,,93,,817,,861,901,1771,,,
2005,Ad Dakhliyah,No. of Classes,,78,,738,,780,1101,1596,,,
2006,Ad Dakhliyah,No. of Classes,729,66,285,669,310,706,1324,1441,,,
2007,Ad Dakhliyah,No. of Classes,766,68,353,594,375,628,1494,1290,,,
2008,Ad Dakhliyah,No. of Classes,823,53,410,532,436,547,1669,1132,,,
2009,Ad Dakhliyah,No. of Classes,827,48,485,450,485,460,1797,958,,,
2010,Ad Dakhliyah,No. of Classes,902,54,509,408,532,414,1943,876,,,
2011,Ad Dakhliyah,No. of Classes,972,41,536,375,553,381,2061,797,,,
2012,Ad Dakhliyah,No. of Classes,1010,29,575,316,588,313,2173,658,,,
2013,Ad Dakhliyah,No. of Classes,1032,21,598,283,607,284,2237,588,,,
2014,Ad Dakhliyah,No. of Classes,1052,17,629,248,633,260,2314,525,,,
2015,Ad Dakhliyah,No. of Classes,1121,13,667,231,676,245,2464,489,,,
2002,Al Batinah North,No. of Classes,,,,,,,,,,,
2003,Al Batinah North,No. of Classes,,,,,,,,,,,
2004,Al Batinah North,No. of Classes,,,,,,,,,,,
2005,Al Batinah North,No. of Classes,,,,,,,,,,,
2006,Al Batinah North,No. of Classes,,,,,,,,,,,
2007,Al Batinah North,No. of Classes,,,,,,,,,,,
2008,Al Batinah North,No. of Classes,,,,,,,,,,,
2009,Al Batinah North,No. of Classes,,,,,,,,,,,
2010,Al Batinah North,No. of Classes,,,,,,,,,,,
2011,Al Batinah North,No. of Classes,1172,36,644,525,642,574,2458,1135,,,
2012,Al Batinah North,No. of Classes,1210,17,692,464,687,474,2589,955,,,
2013,Al Batinah North,No. of Classes,1268,14,744,397,735,403,2747,814,,,
2014,Al Batinah North,No. of Classes,1321,11,790,340,785,343,2896,694,,,
2015,Al Batinah North,No. of Classes,1445,14,820,306,841,318,3106,638,,,
2002,Al Batinah South,No. of Classes,,,,,,,,,,,
2003,Al Batinah South,No. of Classes,,,,,,,,,,,
2004,Al Batinah South,No. of Classes,,,,,,,,,,,
2005,Al Batinah South,No. of Classes,,,,,,,,,,,
2006,Al Batinah South,No. of Classes,,,,,,,,,,,
2007,Al Batinah South,No. of Classes,,,,,,,,,,,
2008,Al Batinah South,No. of Classes,,,,,,,,,,,
2009,Al Batinah South,No. of Classes,,,,,,,,,,,
2010,Al Batinah South,No. of Classes,,,,,,,,,,,
2011,Al Batinah South,No. of Classes,745,95,478,338,490,340,1713,773,,,
2012,Al Batinah South,No. of Classes,754,55,510,310,521,304,1785,669,,,
2013,Al Batinah South,No. of Classes,822,18,528,272,534,257,1884,547,,,
2014,Al Batinah South,No. of Classes,854,5,569,225,583,209,2006,439,,,
2015,Al Batinah South,No. of Classes,912,6,588,210,593,198,2093,414,,,
2002,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2003,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2004,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2005,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2006,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2007,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2008,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2009,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2010,Ash Sharqiyah South,No. of Classes,,,,,,,,,,,
2011,Ash Sharqiyah South,No. of Classes,540,39,341,213,331,209,1212,461,,,
2012,Ash Sharqiyah South,No. of Classes,541,25,364,177,352,181,1257,383,,,
2013,Ash Sharqiyah South,No. of Classes,570,24,378,171,358,177,1306,372,,,
2014,Ash Sharqiyah South,No. of Classes,620,8,381,155,362,156,1363,319,,,
2015,Ash Sharqiyah South,No. of Classes,563,,341,171,350,174,1254,345,,,
2002,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2003,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2004,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2005,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2006,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2007,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2008,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2009,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2010,Ash Sharqiyah North,No. of Classes,,,,,,,,,,,
2011,Ash Sharqiyah North,No. of Classes,420,78,269,249,271,262,960,589,,,
2012,Ash Sharqiyah North,No. of Classes,466,50,284,216,289,216,1039,482,,,
2013,Ash Sharqiyah North,No. of Classes,493,33,296,202,303,209,1092,444,,,
2014,Ash Sharqiyah North,No. of Classes,541,1,312,189,317,197,1170,387,,,
2015,Ash Sharqiyah North,No. of Classes,651,10,401,144,381,154,1433,308,,,
2002,Adh Dhahirah,No. of Classes,,98,,599,,634,370,1331,,,
2003,Adh Dhahirah,No. of Classes,,97,,567,,614,482,1278,,,
2004,Adh Dhahirah,No. of Classes,,88,,515,,556,605,1159,,,
2005,Adh Dhahirah,No. of Classes,,76,,465,,511,728,1052,,,
